|OrderId|OrderDate |OrderAmount|SalePersone     |
|42,286 |2013-11-08|2,048.28   |Neville Hindley |
|42,287 |2013-11-08|2,203.5    |Garth Evershed  |
|42,288 |2013-11-08|363.75     |Garth Evershed  |
|42,289 |2013-11-08|2,128.68   |Harvey Lock     |
|42,290 |2013-11-08|5,382      |Garth Evershed  |
|42,291 |2013-11-11|1,768      |Neville Hindley |
|42,292 |2013-11-11|2,637.5    |Garth Evershed  |
|42,293 |2013-11-11|6,860      |Garth Evershed  |
|42,294 |2013-11-11|295        |Neville Hindley |
|42,295 |2013-11-11|1,258.2    |Lyndon Evershed |
|42,296 |2013-11-11|349        |Neville Hindley |
|42,297 |2013-11-11|1,814      |Neville Hindley |
|42,298 |2013-11-11|1,744.23   |Harvey Lock     |
|42,299 |2013-11-11|1,656      |Neville Hindley |
|42,300 |2013-11-11|254.4      |Neville Hindley |
|42,301 |2013-11-11|360        |Garth Evershed  |
|42,302 |2013-11-11|327        |Neville Hindley |
|42,303 |2013-11-11|500        |Harvey Lock     |
|42,304 |2013-11-11|57.5       |Lyndon Evershed |
|42,305 |2013-11-12|1,535      |Neville Hindley |
|42,306 |2013-11-12|131.4      |Lyndon Evershed |
|42,307 |2013-11-12|1,215.5    |Lyndon Evershed |
|42,308 |2013-11-12|309.5      |Neville Hindley |
|42,309 |2013-11-12|600        |Lyndon Evershed |
|42,310 |2013-11-12|1,246      |Neville Hindley |
|42,311 |2013-11-12|1,245      |Garth Evershed  |
|42,312 |2013-11-12|430        |Garth Evershed  |
|42,313 |2013-11-12|1,864      |Neville Hindley |
|42,314 |2013-11-13|1,429.25   |Douglas Evershed|
|42,315 |2013-11-13|223        |Garth Evershed  |
|42,316 |2013-11-13|447.5      |Garth Evershed  |
|42,317 |2013-11-13|1,135      |Harvey Lock     |
|42,318 |2013-11-13|780        |Garth Evershed  |
|42,319 |2013-11-14|125.53     |Neville Hindley |
|42,320 |2013-11-14|935        |Neville Hindley |
|42,321 |2013-11-14|598.5      |Garth Evershed  |
|42,322 |2013-11-14|1,239.12   |Neville Hindley |
|42,323 |2013-11-14|217.55     |Douglas Evershed|
|42,324 |2013-11-14|245.5      |Neville Hindley |
|42,325 |2013-11-14|220        |Neville Hindley |
|42,326 |2013-11-14|2,566      |Douglas Evershed|
|42,327 |2013-11-14|172.35     |Neville Hindley |
|42,328 |2013-11-15|1,178      |Lyndon Evershed |
|42,329 |2013-11-15|426        |Douglas Evershed|
|42,330 |2013-11-15|2,506.5    |Garth Evershed  |
|42,331 |2013-11-15|189.25     |Garth Evershed  |
|42,332 |2013-11-15|375.25     |Garth Evershed  |
|42,333 |2013-11-18|83.88      |Neville Hindley |
|42,334 |2013-11-18|815.5      |Neville Hindley |
|42,335 |2013-11-18|614.75     |Neville Hindley |
|42,336 |2013-11-18|1,257.35   |Garth Evershed  |
|42,337 |2013-11-18|285.92     |Harvey Lock     |
|42,338 |2013-11-18|319.39     |Neville Hindley |
|42,339 |2013-11-18|1,169.25   |Neville Hindley |
|42,340 |2013-11-18|249        |Neville Hindley |
|42,341 |2013-11-19|1,010.5    |Douglas Evershed|
|42,342 |2013-11-19|240        |Neville Hindley |
|42,343 |2013-11-19|909.5      |Lyndon Evershed |
|42,344 |2013-11-19|710.5      |Lyndon Evershed |
|42,345 |2013-11-19|845        |Neville Hindley |
|42,346 |2013-11-19|2,965      |Lyndon Evershed |
|42,347 |2013-11-19|690.97     |Garth Evershed  |
|42,348 |2013-11-19|322        |Lyndon Evershed |
|42,349 |2013-11-19|804        |Lyndon Evershed |
|42,350 |2013-11-19|1,132      |Lyndon Evershed |
|42,351 |2013-11-20|793        |Neville Hindley |
|42,352 |2013-11-20|1,815      |Neville Hindley |
|42,353 |2013-11-20|706.5      |Garth Evershed  |
|42,354 |2013-11-20|499        |Lyndon Evershed |
|42,355 |2013-11-20|694.25     |Lyndon Evershed |
|42,356 |2013-11-21|626        |Harvey Lock     |
|42,357 |2013-11-21|156.45     |Garth Evershed  |
|42,358 |2013-11-21|567.5      |Neville Hindley |
|42,359 |2013-11-21|749.16     |Neville Hindley |
|42,360 |2013-11-21|102.25     |Douglas Evershed|
|42,361 |2013-11-21|870.5      |Douglas Evershed|
|42,362 |2013-11-21|4,141      |Douglas Evershed|
|42,363 |2013-11-21|3,210.5    |Lyndon Evershed |
|42,364 |2013-11-21|170        |Neville Hindley |
|42,365 |2013-11-22|209.5      |Neville Hindley |
|42,366 |2013-11-22|1,747.5    |Neville Hindley |
|42,367 |2013-11-22|92.3       |Garth Evershed  |
|42,368 |2013-11-22|1,321      |Neville Hindley |
|42,369 |2013-11-22|3,821.7    |Neville Hindley |
|42,370 |2013-11-22|1,479      |Douglas Evershed|
|42,371 |2013-11-22|1,970      |Douglas Evershed|
|42,372 |2013-11-22|254.7      |Neville Hindley |
|42,373 |2013-11-22|822        |Neville Hindley |
|42,374 |2013-11-22|443        |Neville Hindley |
|42,375 |2013-11-22|2,680      |Garth Evershed  |
|42,376 |2013-11-22|1,564      |Harvey Lock     |
|42,377 |2013-11-22|1,929      |Lyndon Evershed |
|42,378 |2013-11-25|203        |Neville Hindley |
|42,379 |2013-11-25|1,614.5    |Lyndon Evershed |
|42,380 |2013-11-25|294.8      |Neville Hindley |
|42,381 |2013-11-25|364        |Neville Hindley |
|42,382 |2013-11-25|375        |Neville Hindley |
|42,383 |2013-11-25|495        |Neville Hindley |
|42,384 |2013-11-25|463        |Neville Hindley |
|42,385 |2013-11-25|1,140      |Lyndon Evershed |
|42,386 |2013-11-26|1,247.7    |Harvey Lock     |
|42,387 |2013-11-26|798.5      |Harvey Lock     |
|42,388 |2013-11-26|20,702.75  |Lyndon Evershed |
|42,389 |2013-11-26|6,105.8    |Lyndon Evershed |
|42,390 |2013-11-26|5,850      |Garth Evershed  |
|42,391 |2013-11-27|1,380      |Harvey Lock     |
|42,392 |2013-11-27|2,997      |Lyndon Evershed |
|42,393 |2013-11-27|65.75      |Lyndon Evershed |
|42,394 |2013-11-27|7,732      |Neville Hindley |
|42,395 |2013-11-27|999.5      |Garth Evershed  |
|42,396 |2013-11-28|1,503      |Neville Hindley |
|42,397 |2013-11-28|3,123.5    |Garth Evershed  |
|42,398 |2013-11-28|514        |Lyndon Evershed |
|42,399 |2013-11-28|1,875.75   |Garth Evershed  |
|42,400 |2013-11-29|805        |Lyndon Evershed |
|42,401 |2013-11-29|380.6      |Neville Hindley |
|42,402 |2013-11-29|545        |Neville Hindley |
|42,403 |2013-11-29|308.6      |Harvey Lock     |
|42,404 |2013-11-29|206.5      |Douglas Evershed|
|42,405 |2013-11-29|99.11      |Douglas Evershed|
|42,406 |2013-11-29|3,467.5    |Lyndon Evershed |
|42,407 |2013-11-29|735        |Garth Evershed  |
|42,408 |2013-11-29|1,461      |Lyndon Evershed |
|42,409 |2013-12-02|1,292.5    |Neville Hindley |
|42,410 |2013-12-02|697        |Neville Hindley |
|42,411 |2013-12-02|57         |Neville Hindley |
|42,412 |2013-12-02|259        |Neville Hindley |
|42,413 |2013-12-02|972.5      |Neville Hindley |
|42,414 |2013-12-02|-185.38    |Neville Hindley |
|42,415 |2013-12-02|442.5      |Harvey Lock     |
|42,416 |2013-12-02|250.5      |Lyndon Evershed |
|42,417 |2013-12-02|4,600      |Neville Hindley |
|42,418 |2013-12-03|152.5      |Neville Hindley |
|42,419 |2013-12-03|603.5      |Garth Evershed  |
|42,420 |2013-12-03|188.25     |Garth Evershed  |
|42,421 |2013-12-03|485        |Garth Evershed  |
|42,422 |2013-12-03|195.59     |Garth Evershed  |
|42,423 |2013-12-03|1,249      |Lyndon Evershed |
|42,424 |2013-12-03|47.5       |Lyndon Evershed |
|42,425 |2013-12-03|510.25     |Lyndon Evershed |
|42,426 |2013-12-04|1,235      |Neville Hindley |
|42,427 |2013-12-04|210        |Neville Hindley |
|42,428 |2013-12-04|1,070      |Neville Hindley |
|42,429 |2013-12-04|171.42     |Neville Hindley |
|42,430 |2013-12-04|1,412.25   |Lyndon Evershed |
|42,431 |2013-12-04|368.34     |Lyndon Evershed |
|42,432 |2013-12-04|672        |Garth Evershed  |
|42,433 |2013-12-04|197.7      |Neville Hindley |
|42,434 |2013-12-04|525        |Lyndon Evershed |
|42,435 |2013-12-04|6,506.5    |Lyndon Evershed |
|42,436 |2013-12-05|2,820      |Lyndon Evershed |
|42,437 |2013-12-05|229.75     |Harvey Lock     |
|42,438 |2013-12-05|47.5       |Douglas Evershed|
|42,439 |2013-12-05|1,000.99   |Neville Hindley |
|42,440 |2013-12-05|378.5      |Neville Hindley |
|42,441 |2013-12-05|97.1       |Neville Hindley |
|42,442 |2013-12-05|2,718.35   |Lyndon Evershed |
|42,443 |2013-12-05|2,375      |Lyndon Evershed |
|42,444 |2013-12-05|1,078.04   |Garth Evershed  |
|42,445 |2013-12-05|1,420.84   |Neville Hindley |
|42,446 |2013-12-06|1,107      |Harvey Lock     |
|42,447 |2013-12-06|375        |Neville Hindley |
|42,448 |2013-12-06|1,279      |Lyndon Evershed |
|42,449 |2013-12-06|1,961      |Lyndon Evershed |
|42,450 |2013-12-09|78.4       |Neville Hindley |
|42,451 |2013-12-09|2,132      |Lyndon Evershed |
|42,452 |2013-12-09|14,564.95  |Douglas Evershed|
|42,453 |2013-12-09|3,332      |Lyndon Evershed |
|42,454 |2013-12-09|152.8      |Neville Hindley |
|42,455 |2013-12-09|1,205.5    |Garth Evershed  |
|42,456 |2013-12-09|524.5      |Garth Evershed  |
|42,457 |2013-12-09|260        |Garth Evershed  |
|42,458 |2013-12-09|495.21     |Garth Evershed  |
|42,459 |2013-12-10|470        |Neville Hindley |
|42,460 |2013-12-10|222.5      |Lyndon Evershed |
|42,461 |2013-12-10|421.65     |Garth Evershed  |
|42,462 |2013-12-10|369.28     |Neville Hindley |
|42,463 |2013-12-10|567        |Lyndon Evershed |
|42,464 |2013-12-10|468        |Harvey Lock     |
|42,465 |2013-12-10|235.5      |Garth Evershed  |
|42,466 |2013-12-11|1,490      |Lyndon Evershed |
|42,467 |2013-12-11|80.18      |Douglas Evershed|
|42,468 |2013-12-11|460        |Neville Hindley |
|42,469 |2013-12-11|457        |Harvey Lock     |
|42,470 |2013-12-11|2,146      |Douglas Evershed|
|42,471 |2013-12-12|498.6      |Lyndon Evershed |
|42,472 |2013-12-12|1,988      |Lyndon Evershed |
|42,473 |2013-12-12|8,945      |Lyndon Evershed |
|42,474 |2013-12-12|3,983      |Lyndon Evershed |
|42,475 |2013-12-12|234.5      |Douglas Evershed|
|42,476 |2013-12-12|896.5      |Harvey Lock     |
|42,477 |2013-12-13|6,670      |Neville Hindley |
|42,478 |2013-12-13|796.64     |Lyndon Evershed |
|42,479 |2013-12-13|3,692      |Lyndon Evershed |
|42,480 |2013-12-13|997.5      |Garth Evershed  |
|42,481 |2013-12-13|272.5      |Lyndon Evershed |
|42,482 |2013-12-13|1,922      |Garth Evershed  |
|42,483 |2013-12-16|224        |Neville Hindley |
|42,484 |2013-12-16|398        |Garth Evershed  |
|42,485 |2013-12-16|1,191.16   |Garth Evershed  |
|42,486 |2013-12-16|3,248.56   |Lyndon Evershed |
|42,487 |2013-12-16|316.6      |Neville Hindley |
|42,488 |2013-12-16|864.35     |Lyndon Evershed |
|42,489 |2013-12-17|12,900     |Garth Evershed  |
|42,490 |2013-12-17|313.84     |Garth Evershed  |
|42,491 |2013-12-17|3,456.75   |Douglas Evershed|
|42,492 |2013-12-17|1,115.5    |Neville Hindley |
|42,493 |2013-12-18|922.95     |Garth Evershed  |
|42,494 |2013-12-18|145        |Lyndon Evershed |
|42,495 |2013-12-19|597.5      |Douglas Evershed|
|42,496 |2013-12-20|5,940      |Garth Evershed  |
|42,497 |2013-12-20|4,314.63   |Garth Evershed  |
|42,498 |2013-12-20|2,661.5    |Garth Evershed  |
|42,499 |2013-12-20|7,524      |Lyndon Evershed |
|42,500 |2013-12-20|32,112.28  |Lyndon Evershed |
|42,501 |2013-12-20|19,338     |Neville Hindley |
|42,502 |2013-12-20|455        |Neville Hindley |
|42,503 |2013-12-20|100.5      |Neville Hindley |
|42,504 |2013-12-20|170        |Neville Hindley |
|42,505 |2013-12-20|2,153.5    |Lyndon Evershed |
|42,506 |2013-12-20|276.69     |Garth Evershed  |
|42,507 |2013-12-20|2,910      |Douglas Evershed|
|42,508 |2013-12-20|210        |Douglas Evershed|
|42,509 |2013-12-23|13,204     |Lyndon Evershed |
|42,510 |2014-01-03|311.5      |Lyndon Evershed |
|42,511 |2014-01-03|1,278      |Harvey Lock     |
|42,512 |2014-01-03|3,430      |Garth Evershed  |
|42,513 |2014-01-06|495        |Neville Hindley |
|42,514 |2014-01-06|87.5       |Neville Hindley |
|42,515 |2014-01-06|723.69     |Neville Hindley |
|42,516 |2014-01-06|871.32     |Neville Hindley |
|42,517 |2014-01-06|1,781.18   |Neville Hindley |
|42,518 |2014-01-06|495        |Neville Hindley |
|42,519 |2014-01-06|329.7      |Neville Hindley |
|42,520 |2014-01-07|1,600.5    |Lyndon Evershed |
|42,521 |2014-01-07|452.42     |Douglas Evershed|
|42,522 |2014-01-07|2,208      |Lyndon Evershed |
|42,523 |2014-01-08|360        |Neville Hindley |
|42,524 |2014-01-08|538        |Neville Hindley |
|42,525 |2014-01-08|114.96     |Neville Hindley |
|42,526 |2014-01-08|525        |Neville Hindley |
|42,527 |2014-01-09|53.85      |Lyndon Evershed |
|42,528 |2014-01-09|222.5      |Lyndon Evershed |
|42,529 |2014-01-09|232.5      |Neville Hindley |
|42,530 |2014-01-09|1,351.91   |Lyndon Evershed |
|42,531 |2014-01-09|1,198      |Garth Evershed  |
|42,532 |2014-01-09|65,000     |Garth Evershed  |
|42,533 |2014-01-09|4,450      |Neville Hindley |
|42,534 |2014-01-09|673.35     |Lyndon Evershed |
|42,535 |2014-01-09|4,125      |Garth Evershed  |
|42,536 |2014-01-09|514        |Neville Hindley |
|42,537 |2014-01-09|578        |Lyndon Evershed |
|42,538 |2014-01-10|267        |Neville Hindley |
|42,539 |2014-01-10|23,182     |Lyndon Evershed |
|42,540 |2014-01-10|2,040      |Garth Evershed  |
|42,541 |2014-01-13|300        |Neville Hindley |
|42,542 |2014-01-13|518        |Neville Hindley |
|42,543 |2014-01-13|1,259      |Neville Hindley |
|42,544 |2014-01-13|245        |Neville Hindley |
|42,545 |2014-01-13|316        |Lyndon Evershed |
|42,546 |2014-01-13|414.5      |Neville Hindley |
|42,547 |2014-01-13|261.5      |Neville Hindley |
|42,548 |2014-01-13|400        |Lyndon Evershed |
|42,549 |2014-01-13|847.21     |Garth Evershed  |
|42,550 |2014-01-13|547        |Neville Hindley |
|42,551 |2014-01-14|99.92      |Neville Hindley |
|42,552 |2014-01-14|390        |Douglas Evershed|
|42,553 |2014-01-14|1,430.1    |Neville Hindley |
|42,554 |2014-01-14|729        |Neville Hindley |
|42,555 |2014-01-14|257.5      |Neville Hindley |
|42,556 |2014-01-14|592.5      |Neville Hindley |
|42,557 |2014-01-14|414.6      |Neville Hindley |
|42,558 |2014-01-14|203.88     |Neville Hindley |
|42,559 |2014-01-15|1,447      |Lyndon Evershed |
|42,560 |2014-01-15|1,768      |Garth Evershed  |
|42,561 |2014-01-15|1,835      |Garth Evershed  |
|42,562 |2014-01-15|2,025.5    |Garth Evershed  |
|42,563 |2014-01-15|15,980     |Lyndon Evershed |
|42,564 |2014-01-16|376        |Neville Hindley |
|42,565 |2014-01-16|1,663      |Lyndon Evershed |
|42,566 |2014-01-16|449        |Garth Evershed  |
|42,567 |2014-01-17|1,577.5    |Lyndon Evershed |
|42,568 |2014-01-17|272.3      |Garth Evershed  |
|42,569 |2014-01-17|461.65     |Garth Evershed  |
|42,570 |2014-01-17|592        |Neville Hindley |
|42,571 |2014-01-17|309.67     |Neville Hindley |
|42,572 |2014-01-17|3,897.4    |Lyndon Evershed |
|42,573 |2014-01-17|2,171.43   |Garth Evershed  |
|42,574 |2014-01-17|242.5      |Neville Hindley |
|42,575 |2014-01-17|6,550      |Garth Evershed  |
|42,576 |2014-01-20|1,645      |Neville Hindley |
|42,577 |2014-01-20|167.88     |Neville Hindley |
|42,578 |2014-01-20|1,981      |Lyndon Evershed |
|42,579 |2014-01-20|546.48     |Neville Hindley |
|42,580 |2014-01-20|1,600      |Garth Evershed  |
|42,581 |2014-01-20|3,615      |Garth Evershed  |
|42,582 |2014-01-20|412.5      |Lyndon Evershed |
|42,583 |2014-01-21|1,456.5    |Garth Evershed  |
|42,584 |2014-01-21|395        |Neville Hindley |
|42,585 |2014-01-21|1,864.6    |Lyndon Evershed |
|42,586 |2014-01-21|2,047      |Lyndon Evershed |
|42,587 |2014-01-21|3,950      |Garth Evershed  |
|42,588 |2014-01-21|3,535      |Neville Hindley |
|42,589 |2014-01-22|1,565      |Lyndon Evershed |
|42,590 |2014-01-22|210.6      |Lyndon Evershed |
|42,591 |2014-01-22|307.5      |Lyndon Evershed |
|42,592 |2014-01-22|892        |Lyndon Evershed |
|42,593 |2014-01-22|1,680.85   |Garth Evershed  |
|42,594 |2014-01-23|462.94     |Douglas Evershed|
|42,595 |2014-01-23|1,160      |Neville Hindley |
|42,596 |2014-01-23|326.75     |Neville Hindley |
|42,597 |2014-01-24|1,270      |Neville Hindley |
|42,598 |2014-01-24|713        |Lyndon Evershed |
|42,599 |2014-01-24|2,723.71   |Garth Evershed  |
|42,600 |2014-01-27|1,621      |Lyndon Evershed |
|42,601 |2014-01-27|930        |Neville Hindley |
|42,602 |2014-01-27|3,097      |Lyndon Evershed |
|42,603 |2014-01-27|954.5      |Neville Hindley |
|42,604 |2014-01-27|485        |Lyndon Evershed |
|42,605 |2014-01-28|737.97     |Neville Hindley |
|42,606 |2014-01-28|1,823      |Lyndon Evershed |
|42,607 |2014-01-28|251.9      |Garth Evershed  |
|42,608 |2014-01-28|396.7      |Garth Evershed  |
|42,609 |2014-01-28|643.5      |Garth Evershed  |
|42,610 |2014-01-28|420        |Lyndon Evershed |
|42,611 |2014-01-28|3,210.5    |Lyndon Evershed |
|42,612 |2014-01-28|914.32     |Lyndon Evershed |
|42,613 |2014-01-28|2,123      |Lyndon Evershed |
|42,614 |2014-01-29|2,763.8    |Douglas Evershed|
|42,615 |2014-01-29|518        |Neville Hindley |
|42,616 |2014-01-29|312        |Harvey Lock     |
|42,617 |2014-01-29|517.3      |Neville Hindley |
|42,618 |2014-01-29|657        |Lyndon Evershed |
|42,619 |2014-01-29|644.5      |Harvey Lock     |
|42,620 |2014-01-30|145        |Neville Hindley |
|42,621 |2014-01-30|529        |Neville Hindley |
|42,622 |2014-01-30|563.75     |Neville Hindley |
|42,623 |2014-01-30|1,380      |Neville Hindley |
|42,624 |2014-01-30|271.25     |Garth Evershed  |
|42,625 |2014-01-30|1,102      |Lyndon Evershed |
|42,626 |2014-01-30|3,811      |Lyndon Evershed |
|42,627 |2014-01-30|82         |Lyndon Evershed |
|42,628 |2014-01-31|1,162      |Neville Hindley |
|42,629 |2014-01-31|2,132      |Douglas Evershed|
|42,630 |2014-01-31|617.5      |Lyndon Evershed |
|42,631 |2014-01-31|177        |Neville Hindley |
|42,632 |2014-01-31|8,492.35   |Garth Evershed  |
|42,633 |2014-02-01|4,564.36   |Neville Hindley |
|42,634 |2014-02-03|1,368.5    |Lyndon Evershed |
|42,635 |2014-02-03|891        |Harvey Lock     |
|42,636 |2014-02-03|2,255      |Neville Hindley |
|42,637 |2014-02-03|145        |Neville Hindley |
|42,638 |2014-02-03|608.26     |Lyndon Evershed |
|42,639 |2014-02-03|854.95     |Garth Evershed  |
|42,640 |2014-02-04|452.5      |Garth Evershed  |
|42,641 |2014-02-04|218        |Neville Hindley |
|42,642 |2014-02-04|861        |Neville Hindley |
|42,643 |2014-02-04|180        |Neville Hindley |
|42,644 |2014-02-04|2,950      |Neville Hindley |
|42,645 |2014-02-04|1,107.8    |Harvey Lock     |
|42,646 |2014-02-04|4,500      |Neville Hindley |
